Release.Date,Season,Episode,Episode.Title,Name,Sentence,lemma,tokens
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,you should consider yourself lucky. at least your balls will not freeze off.,consider lucky least ball freeze,"['consider', 'lucky', 'least', 'ball', 'freeze']"
2019-04-14,Season 8,Episode 1,Winterfell,varys,"you take great offense at dwarf jokes, but love telling eunuch jokes. why is that?",take great offense dwarf joke love telling eunuch joke,"['take', 'great', 'offense', 'dwarf', 'joke', 'love', 'telling', 'eunuch', 'joke']"
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,"because i have balls, and you do not.",ball,['ball']
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,i warned you. northerners do not much trust outsiders.,warned northerner much trust outsider,"['warned', 'northerner', 'much', 'trust', 'outsider']"
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,look at you.,look,['look']
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,you are a man.,man,['man']
2019-04-14,Season 8,Episode 1,Winterfell,bran stark,almost.,almost,['almost']
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,where is arya?,arya,['arya']
2019-04-14,Season 8,Episode 1,Winterfell,sansa stark,lurking somewhere.,lurking somewhere,"['lurking', 'somewhere']"
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,"queen daenerys of house targaryen. my sister, sansa stark, the lady of winterfell.",queen daenerys house targaryen sister sansa stark lady winterfell,"['queen', 'daenerys', 'house', 'targaryen', 'sister', 'sansa', 'stark', 'lady', 'winterfell']"
2019-04-14,Season 8,Episode 1,Winterfell,daenerys targaryen,"thank you for inviting us into your home, lady stark. the north is as beautiful as your brother claimed, as are you.",thank inviting u home lady stark north beautiful brother claimed,"['thank', 'inviting', 'u', 'home', 'lady', 'stark', 'north', 'beautiful', 'brother', 'claimed']"
2019-04-14,Season 8,Episode 1,Winterfell,sansa stark,"winterfell is yours, your grace.",winterfell grace,"['winterfell', 'grace']"
2019-04-14,Season 8,Episode 1,Winterfell,bran stark,we do not have time for all this. the night king has your dragon.,time night king dragon,"['time', 'night', 'king', 'dragon']"
2019-04-14,Season 8,Episode 1,Winterfell,bran stark,"he is one of them now. the wall has fallen, the dead march south.",one wall fallen dead march south,"['one', 'wall', 'fallen', 'dead', 'march', 'south']"
2019-04-14,Season 8,Episode 1,Winterfell,sansa stark,"as soon as we heard about the wall, i called all our banners to retreat to winterfell. lord umber when can we expect your people to arrive?",soon heard wall called banner retreat winterfell lord umber expect people arrive,"['soon', 'heard', 'wall', 'called', 'banner', 'retreat', 'winterfell', 'lord', 'umber', 'expect', 'people', 'arrive']"
2019-04-14,Season 8,Episode 1,Winterfell,umber,"we need more horses and wagons, if it please my lady.",need horse wagon please lady,"['need', 'horse', 'wagon', 'please', 'lady']"
2019-04-14,Season 8,Episode 1,Winterfell,umber,and my lord.,lord,['lord']
2019-04-14,Season 8,Episode 1,Winterfell,umber,and my queen. sorry.,queen sorry,"['queen', 'sorry']"
2019-04-14,Season 8,Episode 1,Winterfell,sansa stark,you will have as many as we can spare. hurry back to last hearth and bring your people here.,many spare hurry back last hearth bring people,"['many', 'spare', 'hurry', 'back', 'last', 'hearth', 'bring', 'people']"
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,we need to send ravens to the night's watch as . there is no sense in manning the castles anymore. we make our stand here.,need send raven night's watch sense manning castle anymore make stand,"['need', 'send', 'raven', ""night's"", 'watch', 'sense', 'manning', 'castle', 'anymore', 'make', 'stand']"
2019-04-14,Season 8,Episode 1,Winterfell,maester wolkan,"at once, your grace.",grace,['grace']
2019-04-14,Season 8,Episode 1,Winterfell,lyanna mormont,your grace.,grace,['grace']
2019-04-14,Season 8,Episode 1,Winterfell,lyanna,but you are not. are you? you left winterfell a king and came back a- i am not sure what you are now.,left winterfell king came back sure,"['left', 'winterfell', 'king', 'came', 'back', 'sure']"
2019-04-14,Season 8,Episode 1,Winterfell,lyanna,a lord? nothing at all?,lord nothing,"['lord', 'nothing']"
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,it is not important.,important,['important']
2019-04-14,Season 8,Episode 1,Winterfell,lyanna,not important? we named you king in the north.,important named king north,"['important', 'named', 'king', 'north']"
2019-04-14,Season 8,Episode 1,Winterfell,man,king of the north!,king north,"['king', 'north']"
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,"you did, my lady. it was the honor of my life. i will always be grateful for your faith. but when i left winterfell, i told you we need allies or we will die. i have brought those allies home to fight alongside us. i had a choice, keep my crown or protect the north. i chose the north.",lady honor life always grateful faith left winterfell told need ally die brought ally home fight alongside u choice keep crown protect north chose north,"['lady', 'honor', 'life', 'always', 'grateful', 'faith', 'left', 'winterfell', 'told', 'need', 'ally', 'die', 'brought', 'ally', 'home', 'fight', 'alongside', 'u', 'choice', 'keep', 'crown', 'protect', 'north', 'chose', 'north']"
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,"if anyone survives the war to come, we will have jon snow to thank. he risked his life to show us the threat is real. thanks to his courage, we have brought with us the greatest army the world has ever seen. we have brought two full-grown dragons. and soon, the lannister army will ride north to join our .",anyone survives war come jon snow thank risked life show u threat real thanks courage brought u greatest army world ever seen brought two full grown dragon soon lannister army ride north join,"['anyone', 'survives', 'war', 'come', 'jon', 'snow', 'thank', 'risked', 'life', 'show', 'u', 'threat', 'real', 'thanks', 'courage', 'brought', 'u', 'greatest', 'army', 'world', 'ever', 'seen', 'brought', 'two', 'full', 'grown', 'dragon', 'soon', 'lannister', 'army', 'ride', 'north', 'join']"
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,"i know, i know, our people have not been friends in the past. but we must fight together now or die.",know know people friend past must fight together die,"['know', 'know', 'people', 'friend', 'past', 'must', 'fight', 'together', 'die']"
2019-04-14,Season 8,Episode 1,Winterfell,sansa stark,"may i ask, how are we meant to feed the greatest army the world has ever seen? while i ensured our stores would last through winter, i did not account for dothraki, unsullied and two full-grown dragons. what do dragons eat, anyway?",may ask meant feed greatest army world ever seen ensured store would last winter account dothraki unsullied two full grown dragon dragon eat anyway,"['may', 'ask', 'meant', 'feed', 'greatest', 'army', 'world', 'ever', 'seen', 'ensured', 'store', 'would', 'last', 'winter', 'account', 'dothraki', 'unsullied', 'two', 'full', 'grown', 'dragon', 'dragon', 'eat', 'anyway']"
2019-04-14,Season 8,Episode 1,Winterfell,daenerys targaryen,whatever they want.,whatever want,"['whatever', 'want']"
2019-04-14,Season 8,Episode 1,Winterfell,gendry baratheon,"hey, careful, lads. we need every last bit of it.",hey careful lad need every last bit,"['hey', 'careful', 'lad', 'need', 'every', 'last', 'bit']"
2019-04-14,Season 8,Episode 1,Winterfell,man,sorry 'bout that.,sorry 'bout,"['sorry', ""'bout""]"
2019-04-14,Season 8,Episode 1,Winterfell,gendry baratheon,are these the last of the wagons?,last wagon,"['last', 'wagon']"
2019-04-14,Season 8,Episode 1,Winterfell,man,aye.,aye,['aye']
2019-04-14,Season 8,Episode 1,Winterfell,gendry baratheon,"all right, let us get it all to the forges.",right let u get forge,"['right', 'let', 'u', 'get', 'forge']"
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,my lord. my lady.,lord lady,"['lord', 'lady']"
2019-04-14,Season 8,Episode 1,Winterfell,royce,my lady.,lady,['lady']
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,the lady of winterfell. has a nice ring to it.,lady winterfell nice ring,"['lady', 'winterfell', 'nice', 'ring']"
2019-04-14,Season 8,Episode 1,Winterfell,sansa stark,"so does hand of the queen. depending on the queen, i suppose.",hand queen depending queen suppose,"['hand', 'queen', 'depending', 'queen', 'suppose']"
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,last time we spoke was at joffrey's wedding. miserable affair.,last time spoke joffrey's wedding miserable affair,"['last', 'time', 'spoke', ""joffrey's"", 'wedding', 'miserable', 'affair']"
2019-04-14,Season 8,Episode 1,Winterfell,sansa stark,it had  moments.,moment,['moment']
2019-04-14,Season 8,Episode 1,Winterfell,sansa stark,apologies for leaving like that.,apology leaving like,"['apology', 'leaving', 'like']"
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,"yes, it was a bit hard to explain why my wife fled moments after the king's murder.",yes bit hard explain wife fled moment king's murder,"['yes', 'bit', 'hard', 'explain', 'wife', 'fled', 'moment', ""king's"", 'murder']"
2019-04-14,Season 8,Episode 1,Winterfell,sansa stark,we both survived.,survived,['survived']
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,many underestimated you. most of them are dead now.,many underestimated dead,"['many', 'underestimated', 'dead']"
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,"i am sure you  not thrilled to hear the lannister army's marching north. you have every right to be fearful of my sister. no one fears her more than i do. but i promise, you will be safe-",sure thrilled hear lannister army's marching north every right fearful sister one fear promise safe,"['sure', 'thrilled', 'hear', 'lannister', ""army's"", 'marching', 'north', 'every', 'right', 'fearful', 'sister', 'one', 'fear', 'promise', 'safe']"
2019-04-14,Season 8,Episode 1,Winterfell,sansa stark,cersei told you her army was coming north to fight for you?,cersei told army coming north fight,"['cersei', 'told', 'army', 'coming', 'north', 'fight']"
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,she did.,,[]
2019-04-14,Season 8,Episode 1,Winterfell,sansa stark,and you believed her?,believed,['believed']
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,she has something to live for now. i believe she wants to survive.,something live believe want survive,"['something', 'live', 'believe', 'want', 'survive']"
2019-04-14,Season 8,Episode 1,Winterfell,sansa stark,i used to think you  the cleverest man alive.,used think cleverest man alive,"['used', 'think', 'cleverest', 'man', 'alive']"
2019-04-14,Season 8,Episode 1,Winterfell,arya stark,you used to be taller.,used taller,"['used', 'taller']"
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,how did you sneak up on me?,sneak,['sneak']
2019-04-14,Season 8,Episode 1,Winterfell,arya stark,how did you survive a knife through the heart?,survive knife heart,"['survive', 'knife', 'heart']"
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,i did not.,,[]
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,you still have it.,still,['still']
2019-04-14,Season 8,Episode 1,Winterfell,arya stark,needle.,needle,['needle']
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,have you ever used it?,ever used,"['ever', 'used']"
2019-04-14,Season 8,Episode 1,Winterfell,arya stark,once or twice.,twice,['twice']
2019-04-14,Season 8,Episode 1,Winterfell,arya stark,valyrian steel.,valyrian steel,"['valyrian', 'steel']"
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,jealous?,jealous,['jealous']
2019-04-14,Season 8,Episode 1,Winterfell,arya stark,too heavy for me.,heavy,['heavy']
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,where  you before? i couldo ve used your help with sansa.,couldo used help sansa,"['couldo', 'used', 'help', 'sansa']"
2019-04-14,Season 8,Episode 1,Winterfell,arya stark,"she does not like your queen, does she?",like queen,"['like', 'queen']"
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,sansa thinks she is smarter than everyone.,sansa think smarter everyone,"['sansa', 'think', 'smarter', 'everyone']"
2019-04-14,Season 8,Episode 1,Winterfell,arya stark,she is the smartest person i have ever met.,smartest person ever met,"['smartest', 'person', 'ever', 'met']"
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,now you are defending her?,defending,['defending']
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,you?,,[]
2019-04-14,Season 8,Episode 1,Winterfell,arya stark,i am defending our family. so is she.,defending family,"['defending', 'family']"
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,yeah. i am her family too.,yeah family,"['yeah', 'family']"
2019-04-14,Season 8,Episode 1,Winterfell,arya stark,do not forget that.,forget,['forget']
2019-04-14,Season 8,Episode 1,Winterfell,qyburn,"your grace, i am afraid i bring terrible news. the dead have broken through the wall.",grace afraid bring terrible news dead broken wall,"['grace', 'afraid', 'bring', 'terrible', 'news', 'dead', 'broken', 'wall']"
2019-04-14,Season 8,Episode 1,Winterfell,cersei lannister,good.,good,['good']
2019-04-14,Season 8,Episode 1,Winterfell,yara greyjoy,why do not you just get it over with and kill me?,get kill,"['get', 'kill']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,but we are family. the last greyjoys left in the world. the last ones with balls anyway.,family last greyjoys left world last one ball anyway,"['family', 'last', 'greyjoys', 'left', 'world', 'last', 'one', 'ball', 'anyway']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,if i kill you who can i talk to? hmm?,kill talk hmm,"['kill', 'talk', 'hmm']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,i have got a crew full of mutes. it gets lonely at sea.,got crew full mute get lonely sea,"['got', 'crew', 'full', 'mute', 'get', 'lonely', 'sea']"
2019-04-14,Season 8,Episode 1,Winterfell,yara greyjoy,are we in king's landing?,king's landing,"[""king's"", 'landing']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,mm.,mm,['mm']
2019-04-14,Season 8,Episode 1,Winterfell,yara greyjoy,you picked the losing side.,picked losing side,"['picked', 'losing', 'side']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,then i will sail the iron fleet somewhere else.,sail iron fleet somewhere else,"['sail', 'iron', 'fleet', 'somewhere', 'else']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,but first i am gonna fuck the queen.,first gonna fuck queen,"['first', 'gonna', 'fuck', 'queen']"
2019-04-14,Season 8,Episode 1,Winterfell,cersei lannister,"twenty-thousand men, is it?",twenty thousand men,"['twenty', 'thousand', 'men']"
2019-04-14,Season 8,Episode 1,Winterfell,harry,"yes, your grace. a few died in transit.",yes grace died transit,"['yes', 'grace', 'died', 'transit']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,they cheated at dice. or maybe i cheated. someone cheated. they  not good fighters. you will not miss them.,cheated dice maybe cheated someone cheated good fighter miss,"['cheated', 'dice', 'maybe', 'cheated', 'someone', 'cheated', 'good', 'fighter', 'miss']"
2019-04-14,Season 8,Episode 1,Winterfell,cersei lannister,horses?,horse,['horse']
2019-04-14,Season 8,Episode 1,Winterfell,harry,two thousand.,two thousand,"['two', 'thousand']"
2019-04-14,Season 8,Episode 1,Winterfell,cersei lannister,and elephants?,elephant,['elephant']
2019-04-14,Season 8,Episode 1,Winterfell,harry,"uh, no elephants, your grace.",uh elephant grace,"['uh', 'elephant', 'grace']"
2019-04-14,Season 8,Episode 1,Winterfell,cersei lannister,that is disappointing. i was told the golden company had elephants.,disappointing told golden company elephant,"['disappointing', 'told', 'golden', 'company', 'elephant']"
2019-04-14,Season 8,Episode 1,Winterfell,harry,"they are excellent beasts, your grace, but not -suited to long sea voyages.",excellent beast grace suited long sea voyage,"['excellent', 'beast', 'grace', 'suited', 'long', 'sea', 'voyage']"
2019-04-14,Season 8,Episode 1,Winterfell,cersei lannister,"in any event, you are most welcome here in king's landing, captain strickland.",event welcome king's landing captain strickland,"['event', 'welcome', ""king's"", 'landing', 'captain', 'strickland']"
2019-04-14,Season 8,Episode 1,Winterfell,harry,"we look forward to fighting on your behalf, your grace.",look forward fighting behalf grace,"['look', 'forward', 'fighting', 'behalf', 'grace']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,am i most welcome here?,welcome,['welcome']
2019-04-14,Season 8,Episode 1,Winterfell,cersei lannister,you are a true friend of the crown and an honored guest.,true friend crown honored guest,"['true', 'friend', 'crown', 'honored', 'guest']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,good. as a true friend and an honored guest,good true friend honored guest,"['good', 'true', 'friend', 'honored', 'guest']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,i was hoping we could talk in private.,hoping could talk private,"['hoping', 'could', 'talk', 'private']"
2019-04-14,Season 8,Episode 1,Winterfell,cersei lannister,after the war. that was our agreement.,war agreement,"['war', 'agreement']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,wars sometimes last years.,war sometimes last year,"['war', 'sometimes', 'last', 'year']"
2019-04-14,Season 8,Episode 1,Winterfell,cersei lannister,"you want a whore, buy one. you want a queen, earn her.",want whore buy one want queen earn,"['want', 'whore', 'buy', 'one', 'want', 'queen', 'earn']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,how?,,[]
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,"i have given her justice, an army, and the iron fleet, yet she gives me no sign of affection. my heart is nearly broken.",given justice army iron fleet yet give sign affection heart nearly broken,"['given', 'justice', 'army', 'iron', 'fleet', 'yet', 'give', 'sign', 'affection', 'heart', 'nearly', 'broken']"
2019-04-14,Season 8,Episode 1,Winterfell,cersei lannister,you are insolent. i have executed men for less.,insolent executed men le,"['insolent', 'executed', 'men', 'le']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,they  lesser men.,lesser men,"['lesser', 'men']"
2019-04-14,Season 8,Episode 1,Winterfell,dirah,i hear the dragon burnt up a thousand lannister men.,hear dragon burnt thousand lannister men,"['hear', 'dragon', 'burnt', 'thousand', 'lannister', 'men']"
2019-04-14,Season 8,Episode 1,Winterfell,crayah,burnt up some of my favorite boys.,burnt favorite boy,"['burnt', 'favorite', 'boy']"
2019-04-14,Season 8,Episode 1,Winterfell,dirah,"archie, was it?",archie,['archie']
2019-04-14,Season 8,Episode 1,Winterfell,crayah,and william.,william,['william']
2019-04-14,Season 8,Episode 1,Winterfell,dirah,tall handsome william?,tall handsome william,"['tall', 'handsome', 'william']"
2019-04-14,Season 8,Episode 1,Winterfell,crayah,"yeah, tall handsome william.",yeah tall handsome william,"['yeah', 'tall', 'handsome', 'william']"
2019-04-14,Season 8,Episode 1,Winterfell,dirah,they said what is left of him could fit in a wine glass.,said left could fit wine glass,"['said', 'left', 'could', 'fit', 'wine', 'glass']"
2019-04-14,Season 8,Episode 1,Winterfell,bronn,i am the only man you ever met who shot a dragon.,man ever met shot dragon,"['man', 'ever', 'met', 'shot', 'dragon']"
2019-04-14,Season 8,Episode 1,Winterfell,crayah,did you?,,[]
2019-04-14,Season 8,Episode 1,Winterfell,bronn,nearly killed it.,nearly killed,"['nearly', 'killed']"
2019-04-14,Season 8,Episode 1,Winterfell,marei,that is brave.,brave,['brave']
2019-04-14,Season 8,Episode 1,Winterfell,crayah,that boy eddie.,boy eddie,"['boy', 'eddie']"
2019-04-14,Season 8,Episode 1,Winterfell,dirah,the ginger?,ginger,['ginger']
2019-04-14,Season 8,Episode 1,Winterfell,crayah,that is him. came back with his face burnt right off. he is got no eyelids now.,came back face burnt right got eyelid,"['came', 'back', 'face', 'burnt', 'right', 'got', 'eyelid']"
2019-04-14,Season 8,Episode 1,Winterfell,dirah,how does he sleep with no eyelids?,sleep eyelid,"['sleep', 'eyelid']"
2019-04-14,Season 8,Episode 1,Winterfell,bronn,"all right, can we stop talking about the fucking dragons now?",right stop talking fucking dragon,"['right', 'stop', 'talking', 'fucking', 'dragon']"
2019-04-14,Season 8,Episode 1,Winterfell,qyburn,ser bronn of the blackwater.,ser bronn blackwater,"['ser', 'bronn', 'blackwater']"
2019-04-14,Season 8,Episode 1,Winterfell,bronn,you are kidding me.,kidding,['kidding']
2019-04-14,Season 8,Episode 1,Winterfell,qyburn,"apologies for the interruption, but the queen did urge me to hurry.",apology interruption queen urge hurry,"['apology', 'interruption', 'queen', 'urge', 'hurry']"
2019-04-14,Season 8,Episode 1,Winterfell,bronn,"sorry, ladies. another time perhaps.",sorry lady another time perhaps,"['sorry', 'lady', 'another', 'time', 'perhaps']"
2019-04-14,Season 8,Episode 1,Winterfell,crayah,you ever get lonely; i am partial to older gentlemen.,ever get lonely partial older gentleman,"['ever', 'get', 'lonely', 'partial', 'older', 'gentleman']"
2019-04-14,Season 8,Episode 1,Winterfell,qyburn,poor girl. the pox will take her within the year.,poor girl pox take within year,"['poor', 'girl', 'pox', 'take', 'within', 'year']"
2019-04-14,Season 8,Episode 1,Winterfell,bronn,which girl?,girl,['girl']
2019-04-14,Season 8,Episode 1,Winterfell,qyburn,the queen's brothers made promises to you and broke them. her grace wants to rectify their mistake.,queen's brother made promise broke grace want rectify mistake,"[""queen's"", 'brother', 'made', 'promise', 'broke', 'grace', 'want', 'rectify', 'mistake']"
2019-04-14,Season 8,Episode 1,Winterfell,bronn,"she once gave me a castle and a wife, then rectified me right out of them.",gave castle wife rectified right,"['gave', 'castle', 'wife', 'rectified', 'right']"
2019-04-14,Season 8,Episode 1,Winterfell,qyburn,"that was ser jaime's doing, not hers. when queen cersei wants something, she pays in advance and in gold. several chests of it, in fact. waiting for you in a wagon just outside.",ser jaime's queen cersei want something pay advance gold several chest fact waiting wagon outside,"['ser', ""jaime's"", 'queen', 'cersei', 'want', 'something', 'pay', 'advance', 'gold', 'several', 'chest', 'fact', 'waiting', 'wagon', 'outside']"
2019-04-14,Season 8,Episode 1,Winterfell,bronn,"so, she wants to murder someone, but she can not send her soldiers. if it is the dragon queen she is after-",want murder someone send soldier dragon queen,"['want', 'murder', 'someone', 'send', 'soldier', 'dragon', 'queen']"
2019-04-14,Season 8,Episode 1,Winterfell,qyburn,she has other plans for the targaryen girl.,plan targaryen girl,"['plan', 'targaryen', 'girl']"
2019-04-14,Season 8,Episode 1,Winterfell,bronn,"yeah, , good luck with that.",yeah good luck,"['yeah', 'good', 'luck']"
2019-04-14,Season 8,Episode 1,Winterfell,qyburn,our queen's brothers are unlikely to survive their northern adventures. but in the event that they do-,queen's brother unlikely survive northern adventure event,"[""queen's"", 'brother', 'unlikely', 'survive', 'northern', 'adventure', 'event']"
2019-04-14,Season 8,Episode 1,Winterfell,qyburn,she has a keen sense of poetic justice.,keen sense poetic justice,"['keen', 'sense', 'poetic', 'justice']"
2019-04-14,Season 8,Episode 1,Winterfell,bronn,that fucking family.,fucking family,"['fucking', 'family']"
2019-04-14,Season 8,Episode 1,Winterfell,qyburn,"when the citadel expelled me, i thought i would die poor and alone, but in exchange for my service, queen cersei made me her hand. what would she do for the man who rids her of her treasonous brothers?",citadel expelled thought would die poor alone exchange service queen cersei made hand would man rids treasonous brother,"['citadel', 'expelled', 'thought', 'would', 'die', 'poor', 'alone', 'exchange', 'service', 'queen', 'cersei', 'made', 'hand', 'would', 'man', 'rids', 'treasonous', 'brother']"
2019-04-14,Season 8,Episode 1,Winterfell,cersei lannister,i wanted those elephants.,wanted elephant,"['wanted', 'elephant']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,"so, how do i compare to the fat king?",compare fat king,"['compare', 'fat', 'king']"
2019-04-14,Season 8,Episode 1,Winterfell,cersei lannister,you are insulting my late husband?,insulting late husband,"['insulting', 'late', 'husband']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,are you offended?,offended,['offended']
2019-04-14,Season 8,Episode 1,Winterfell,cersei lannister,"robert had a different whore every night, but he still did not know his way around a woman's body.",robert different whore every night still know way around woman's body,"['robert', 'different', 'whore', 'every', 'night', 'still', 'know', 'way', 'around', ""woman's"", 'body']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,and the kingslayer?,kingslayer,['kingslayer']
2019-04-14,Season 8,Episode 1,Winterfell,cersei lannister,"you enjoy risking your neck, do not you?",enjoy risking neck,"['enjoy', 'risking', 'neck']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,life is boring.,life boring,"['life', 'boring']"
2019-04-14,Season 8,Episode 1,Winterfell,cersei lannister,"you are not boring, i will give you that.",boring give,"['boring', 'give']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,do i please the queen?,please queen,"['please', 'queen']"
2019-04-14,Season 8,Episode 1,Winterfell,cersei lannister,you might be the most arrogant man i have ever met. i like that.,might arrogant man ever met like,"['might', 'arrogant', 'man', 'ever', 'met', 'like']"
2019-04-14,Season 8,Episode 1,Winterfell,cersei lannister,but now i want to be alone.,want alone,"['want', 'alone']"
2019-04-14,Season 8,Episode 1,Winterfell,euron greyjoy,i am going to put a prince in your belly.,going put prince belly,"['going', 'put', 'prince', 'belly']"
2019-04-14,Season 8,Episode 1,Winterfell,yara greyjoy,"euron can not defend the iron islands, not if he is in king's landing with all his men and his ships.",euron defend iron island king's landing men ship,"['euron', 'defend', 'iron', 'island', ""king's"", 'landing', 'men', 'ship']"
2019-04-14,Season 8,Episode 1,Winterfell,yara greyjoy,we can take our home back.,take home back,"['take', 'home', 'back']"
2019-04-14,Season 8,Episode 1,Winterfell,theon greyjoy,daenerys went north.,daenerys went north,"['daenerys', 'went', 'north']"
2019-04-14,Season 8,Episode 1,Winterfell,yara greyjoy,daenerys will need somewhere to retreat if they can not hold the north. somewhere the dead can not go.,daenerys need somewhere retreat hold north somewhere dead go,"['daenerys', 'need', 'somewhere', 'retreat', 'hold', 'north', 'somewhere', 'dead', 'go']"
2019-04-14,Season 8,Episode 1,Winterfell,theon greyjoy,you are my queen. i go where you command.,queen go command,"['queen', 'go', 'command']"
2019-04-14,Season 8,Episode 1,Winterfell,yara greyjoy,you want to go to winterfell. to fight for the starks. go. what is dead may never die.,want go winterfell fight starks go dead may never die,"['want', 'go', 'winterfell', 'fight', 'starks', 'go', 'dead', 'may', 'never', 'die']"
2019-04-14,Season 8,Episode 1,Winterfell,theon greyjoy,what is dead may never die.,dead may never die,"['dead', 'may', 'never', 'die']"
2019-04-14,Season 8,Episode 1,Winterfell,yara greyjoy,but kill the bastards anyway.,kill bastard anyway,"['kill', 'bastard', 'anyway']"
2019-04-14,Season 8,Episode 1,Winterfell,wolkan,"welcome back, my lady. if you would follow me",welcome back lady would follow,"['welcome', 'back', 'lady', 'would', 'follow']"
2019-04-14,Season 8,Episode 1,Winterfell,varys,the karstarks.,karstarks,['karstarks']
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,"one of the better sigils. beats an onion, anyway.",one better sigils beat onion anyway,"['one', 'better', 'sigils', 'beat', 'onion', 'anyway']"
2019-04-14,Season 8,Episode 1,Winterfell,davos,can not argue with that.,argue,['argue']
2019-04-14,Season 8,Episode 1,Winterfell,davos,"not so long ago, the starks and the karstarks  slaughtering each other on the battlefield. jon snow brought peace to the houses.",long ago starks karstarks slaughtering battlefield jon snow brought peace house,"['long', 'ago', 'starks', 'karstarks', 'slaughtering', 'battlefield', 'jon', 'snow', 'brought', 'peace', 'house']"
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,and our queen is grateful.,queen grateful,"['queen', 'grateful']"
2019-04-14,Season 8,Episode 1,Winterfell,davos,"her gratitude is lovely, but that is not my point. the northmen are loyal to jon snow, not to her. they do not know her. the free folk do not know her. i have been up here a while, and i am telling you, they are stubborn as goats. you want their loyalty, you have to earn it.",gratitude lovely point northman loyal jon snow know free folk know telling stubborn goat want loyalty earn,"['gratitude', 'lovely', 'point', 'northman', 'loyal', 'jon', 'snow', 'know', 'free', 'folk', 'know', 'telling', 'stubborn', 'goat', 'want', 'loyalty', 'earn']"
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,i sense that you are leading to a proposal.,sense leading proposal,"['sense', 'leading', 'proposal']"
2019-04-14,Season 8,Episode 1,Winterfell,davos,"a proposal is what i am proposing. on the off chance that we survive the night king, what if the seven kingdoms, for once in their whole shit history,  ruled by a just woman and an honorable man?",proposal proposing chance survive night king seven kingdom whole shit history ruled woman honorable man,"['proposal', 'proposing', 'chance', 'survive', 'night', 'king', 'seven', 'kingdom', 'whole', 'shit', 'history', 'ruled', 'woman', 'honorable', 'man']"
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,they do make a handsome couple.,make handsome couple,"['make', 'handsome', 'couple']"
